unnamed_0,id,name_ru,name_en,description,osnovnaia_myshechnaia_gruppa,tip_uprazhneniia,level,kliuchevye_tegi_dlia_ii
1,WZ001,Вращения тазом,Hip Circles,Плавные круговые движения тазом для увеличения подвижности тазобедренных суставов и поясницы.,"Кор, Бедра",Разминка,Начальный,"[Подвижность таза], [Улучшение кровотока], [Подготовка к нагрузке], [Здоровье поясницы]"
2,WZ002,Лимфодренажные прыжки,Heel Drops,Легкие и частые подъемы на носки с мягким постукиванием пятками о пол для стимуляции крово- и лимфотока.,"Икры, Все тело","Разминка, Кардио",Начальный,"[Улучшение кровотока], [Тазовое здоровье], [Детокс]"
3,WZ003,Махи ногами,Leg Swings,Динамические махи ногами вперед-назад и в стороны для растяжки и увеличения мобильности тазобедренных суставов.,"Ноги, Бедра","Разминка, Гибкость",Начальный,"[Динамическая растяжка], [Подвижность таза], [Подготовка к нагрузке]"
4,WZ004,Круговые движения плечами,Shoulder Rolls,Плавные вращения плечами вперед и назад для разогрева и увеличения подвижности плечевого пояса.,Плечи,Разминка,Начальный,"[Подвижность плеч], [Профилактика травм], [Снятие напряжения в шее]"
5,WZ005,Наклоны туловища в стороны,Torso Bends,Плавные наклоны корпуса влево и вправо для растяжки косых мышц живота и боковой поверхности тела.,"Косые мышцы, Кор","Разминка, Гибкость",Начальный,"[Боковая гибкость], [Активация кора], [Подвижность позвоночника]"
6,WZ006,«Кошка-Корова»,Cat-Cow Pose,Прогибы и скругления позвоночника на четвереньках для улучшения его гибкости и снятия напряжения.,"Позвоночник, Кор","Разминка, Гибкость",Начальный,"[Подвижность позвоночника], [Здоровье поясницы], [Снятие стресса]"
7,WZ007,Ходьба на месте с высоким подъемом коленей,High Knees (Marching),Имитация ходьбы на месте с акцентированным подъемом коленей к груди для разогрева и активации мышц ног и кора.,Все тело,"Разминка, Кардио",Начальный,"[Повышение пульса], [Разогрев], [Активация сгибателей бедра]"
8,WZ008,"Прыжки ""Jumping Jacks"" (легкий темп)",Jumping Jacks (Light Pace),Классические прыжки с разведением рук и ног в стороны в легком темпе для общего разогрева тела.,Все тело,"Разминка, Кардио",Начальный,"[Повышение пульса], [Общий разогрев], [Координация]"
9,WZ009,Вращения в голеностопе и запястьях,Ankle & Wrist Rotations,Круговые движения в суставах голеностопа и запястий для их подготовки к нагрузке.,Суставы,Разминка,Начальный,"[Подвижность суставов], [Профилактика травм], [Подготовка к отжиманиям и приседаниям]"
10,WZ010,Наклоны таза вперед-назад,Pelvic Tilts,"Стоя или лежа, выполняйте плавные наклоны таза вперед (прогиб) и назад (скругление) для активации кора и мобилизации поясницы.","Кор, Поясница",Разминка,Начальный,"[Подвижность таза], [Здоровье поясницы], [Активация кора]"
11,WZ011,Повороты корпуса стоя,Standing Torso Twists,"Стоя, ноги на ширине плеч, выполняйте плавные повороты корпуса влево и вправо для мобилизации грудного отдела позвоночника.","Кор, Косые мышцы",Разминка,Начальный,"[Подвижность позвоночника], [Ротация], [Разогрев кора]"
12,WZ012,Ягодичный мостик (активация),Glute Bridge (Activation),"Лежа на спине, поднимите таз, концентрируясь на сжатии ягодиц. Выполняется для ""пробуждения"" ягодичных мышц перед основной работой.","Ягодицы, Кор",Разминка,Начальный,"[Активация ягодиц], [Здоровье поясницы], [Подготовка к приседаниям]"
13,WZ013,Приседания без веса (разминочные),Bodyweight Squats (Warm-up Pace),Выполнение классических приседаний в неполную амплитуду и в спокойном темпе для разогрева суставов ног.,"Ноги, Ягодицы",Разминка,Начальный,"[Динамическая растяжка], [Подготовка к нагрузке], [Базовое движение]"
14,WZ014,Отжимания от стены,Wall Push-ups,"Выполнение отжиманий от стены для мягкой активации мышц груди, плеч и трицепсов.","Грудь, Плечи",Разминка,Начальный,"[Активация верха тела], [Подготовка к отжиманиям], [Безопасно для суставов]"
15,WZ015,"""Червяк""",Inchworm,"Из положения стоя, наклонитесь, дойдите руками до положения планки и вернитесь обратно. Отличная динамическая растяжка всего тела.",Все тело,"Разминка, Гибкость",Начальный,"[Динамическая растяжка], [Активация всего тела], [Растяжка задней цепи], [Стабильность кора]"
17,EX001,Приседания с весом тела,Bodyweight Squats,"Фундаментальное упражнение для развития силы и массы ног и ягодиц, выполняемое с собственным весом.","Ноги, Ягодицы, Кор",Силовое,Начальный,"[Сила ног], [Выносливость], [Гормональный фон], [Базовое движение], [Тазовое здоровье]"
18,EX002,Выпады вперед,Forward Lunges,"Шаг вперед с последующим сгибанием коленей для односторонней проработки мышц ног, улучшения баланса и гибкости.","Ноги, Ягодицы","Силовое, Баланс",Начальный,"[Сила ног], [Баланс], [Коррекция асимметрии], [Гибкость сгибателей бедра]"
19,EX003,Болгарские сплит-приседания,Bulgarian Split Squats,"Усложненный вариант выпада, где задняя нога размещается на возвышенности, что значительно увеличивает нагрузку на переднюю ногу.","Ноги, Ягодицы","Силовое, Баланс",Продвинутый,"[Сила ног], [Гипертрофия ягодиц], [Продвинутый баланс]"
20,EX004,«Навес» (наклон назад с колен),Nordic Hamstring Curl (Bodyweight variation),"Из положения стоя на коленях, медленный наклон прямого корпуса назад для укрепления ягодиц и квадрицепсов.","Квадрицепсы, Ягодицы",Силовое,Средний,"[Сила толчков], [Выносливость ног]"
21,EX005,"Приседания ""Плие""",Plie Squats,Приседания с широкой постановкой ног и развернутыми наружу носками для акцентированной проработки внутренней поверхности бедер.,"Внутренняя поверхность бедра, Ягодицы","Силовое, Гибкость",Начальный,"[Гибкость для поз], [Сила приводящих мышц]"
22,EX006,"Приседания у стены (""Стульчик"")",Wall Sit,"Изометрическое удержание положения приседа, прислонившись спиной к стене, для развития статической выносливости ног.","Квадрицепсы, Ягодицы",Силовое,Начальный,"[Статическая выносливость], [Безопасно для спины]"
23,EX007,Подъемы на носки стоя,Standing Calf Raises,Подъемы на носки из положения стоя для целенаправленного укрепления икроножных мышц.,Икры,Силовое,Начальный,"[Сила икр], [Улучшение кровотока]"
24,EX008,Обратные выпады,Reverse Lunges,"Вариант выпада, где шаг делается назад. Считается более щадящим для коленных суставов.","Ноги, Ягодицы","Силовое, Баланс",Начальный,"[Сила ног], [Баланс], [Безопасно для коленей]"
