id,name_ru,name_en,description,muscle_group,exercise_type,level,ai_tags,category
endurance_01,Кардио-интервал,Cardio Interval,Кардио упражнение для развития выносливости и улучшения сердечно-сосудистой системы. Кардио-интервал повышает общую физическую подготовку.,Все тело,cardio,intermediate,"[""Кардио"", ""Выносливость"", ""Сжигание калорий"", ""Интенсивность""]",endurance
endurance_02,Высокоинтенсивный бег,High Intensity Running,Кардио упражнение для развития выносливости и улучшения сердечно-сосудистой системы. Высокоинтенсивный бег повышает общую физическую подготовку.,Все тело,cardio,intermediate,"[""Кардио"", ""Выносливость"", ""Сжигание калорий"", ""Интенсивность""]",endurance
endurance_03,Прыжки,Jumping Exercise,Кардио упражнение для развития выносливости и улучшения сердечно-сосудистой системы. Прыжки повышает общую физическую подготовку.,Все тело,cardio,intermediate,"[""Кардио"", ""Выносливость"", ""Сжигание калорий"", ""Интенсивность""]",endurance
endurance_04,Кардио-микс,Cardio Mix,Кардио упражнение для развития выносливости и улучшения сердечно-сосудистой системы. Кардио-микс повышает общую физическую подготовку.,Все тело,cardio,intermediate,"[""Кардио"", ""Выносливость"", ""Сжигание калорий"", ""Интенсивность""]",endurance
endurance_05,Интенсив,High Intensity,Кардио упражнение для развития выносливости и улучшения сердечно-сосудистой системы. Интенсив повышает общую физическую подготовку.,Все тело,cardio,intermediate,"[""Кардио"", ""Выносливость"", ""Сжигание калорий"", ""Интенсивность""]",endurance
endurance_06,Выносливость,Endurance Training,Кардио упражнение для развития выносливости и улучшения сердечно-сосудистой системы. Выносливость повышает общую физическую подготовку.,Все тело,cardio,intermediate,"[""Кардио"", ""Выносливость"", ""Сжигание калорий"", ""Интенсивность""]",endurance
endurance_07,Кардио-блок,Cardio Block,Кардио упражнение для развития выносливости и улучшения сердечно-сосудистой системы. Кардио-блок повышает общую физическую подготовку.,Все тело,cardio,intermediate,"[""Кардио"", ""Выносливость"", ""Сжигание калорий"", ""Интенсивность""]",endurance
endurance_08,Аэробная нагрузка,Aerobic Exercise,Кардио упражнение для развития выносливости и улучшения сердечно-сосудистой системы. Аэробная нагрузка повышает общую физическую подготовку.,Все тело,cardio,intermediate,"[""Кардио"", ""Выносливость"", ""Сжигание калорий"", ""Интенсивность""]",endurance
endurance_09,Функциональная тренировка,Functional Training,Кардио упражнение для развития выносливости и улучшения сердечно-сосудистой системы. Функциональная тренировка повышает общую физическую подготовку.,Все тело,cardio,intermediate,"[""Кардио"", ""Выносливость"", ""Сжигание калорий"", ""Интенсивность""]",endurance
endurance_10,Круговая тренировка,Circuit Training,Кардио упражнение для развития выносливости и улучшения сердечно-сосудистой системы. Круговая тренировка повышает общую физическую подготовку.,Все тело,cardio,intermediate,"[""Кардио"", ""Выносливость"", ""Сжигание калорий"", ""Интенсивность""]",endurance
endurance_11,Кардио-интервал 2,Cardio Interval 2,Кардио упражнение для развития выносливости и улучшения сердечно-сосудистой системы. Кардио-интервал 2 повышает общую физическую подготовку.,Все тело,cardio,intermediate,"[""Кардио"", ""Выносливость"", ""Сжигание калорий"", ""Интенсивность""]",endurance
endurance_12,Высокоинтенсивный бег 2,High Intensity Running 2,Кардио упражнение для развития выносливости и улучшения сердечно-сосудистой системы. Высокоинтенсивный бег 2 повышает общую физическую подготовку.,Все тело,cardio,intermediate,"[""Кардио"", ""Выносливость"", ""Сжигание калорий"", ""Интенсивность""]",endurance
endurance_13,Прыжки 2,Jumping Exercise 2,Кардио упражнение для развития выносливости и улучшения сердечно-сосудистой системы. Прыжки 2 повышает общую физическую подготовку.,Все тело,cardio,intermediate,"[""Кардио"", ""Выносливость"", ""Сжигание калорий"", ""Интенсивность""]",endurance
endurance_14,Кардио-микс 2,Cardio Mix 2,Кардио упражнение для развития выносливости и улучшения сердечно-сосудистой системы. Кардио-микс 2 повышает общую физическую подготовку.,Все тело,cardio,intermediate,"[""Кардио"", ""Выносливость"", ""Сжигание калорий"", ""Интенсивность""]",endurance
endurance_15,Интенсив 2,High Intensity 2,Кардио упражнение для развития выносливости и улучшения сердечно-сосудистой системы. Интенсив 2 повышает общую физическую подготовку.,Все тело,cardio,intermediate,"[""Кардио"", ""Выносливость"", ""Сжигание калорий"", ""Интенсивность""]",endurance
endurance_16,Выносливость 2,Endurance Training 2,Кардио упражнение для развития выносливости и улучшения сердечно-сосудистой системы. Выносливость 2 повышает общую физическую подготовку.,Все тело,cardio,intermediate,"[""Кардио"", ""Выносливость"", ""Сжигание калорий"", ""Интенсивность""]",endurance
endurance_17,Кардио-блок 2,Cardio Block 2,Кардио упражнение для развития выносливости и улучшения сердечно-сосудистой системы. Кардио-блок 2 повышает общую физическую подготовку.,Все тело,cardio,intermediate,"[""Кардио"", ""Выносливость"", ""Сжигание калорий"", ""Интенсивность""]",endurance
endurance_18,Аэробная нагрузка 2,Aerobic Exercise 2,Кардио упражнение для развития выносливости и улучшения сердечно-сосудистой системы. Аэробная нагрузка 2 повышает общую физическую подготовку.,Все тело,cardio,intermediate,"[""Кардио"", ""Выносливость"", ""Сжигание калорий"", ""Интенсивность""]",endurance
endurance_19,Функциональная тренировка 2,Functional Training 2,Кардио упражнение для развития выносливости и улучшения сердечно-сосудистой системы. Функциональная тренировка 2 повышает общую физическую подготовку.,Все тело,cardio,intermediate,"[""Кардио"", ""Выносливость"", ""Сжигание калорий"", ""Интенсивность""]",endurance
endurance_20,Круговая тренировка 2,Circuit Training 2,Кардио упражнение для развития выносливости и улучшения сердечно-сосудистой системы. Круговая тренировка 2 повышает общую физическую подготовку.,Все тело,cardio,intermediate,"[""Кардио"", ""Выносливость"", ""Сжигание калорий"", ""Интенсивность""]",endurance
endurance_21,Кардио-интервал 3,Cardio Interval 3,Кардио упражнение для развития выносливости и улучшения сердечно-сосудистой системы. Кардио-интервал 3 повышает общую физическую подготовку.,Все тело,cardio,intermediate,"[""Кардио"", ""Выносливость"", ""Сжигание калорий"", ""Интенсивность""]",endurance
endurance_22,Высокоинтенсивный бег 3,High Intensity Running 3,Кардио упражнение для развития выносливости и улучшения сердечно-сосудистой системы. Высокоинтенсивный бег 3 повышает общую физическую подготовку.,Все тело,cardio,intermediate,"[""Кардио"", ""Выносливость"", ""Сжигание калорий"", ""Интенсивность""]",endurance
endurance_23,Прыжки 3,Jumping Exercise 3,Кардио упражнение для развития выносливости и улучшения сердечно-сосудистой системы. Прыжки 3 повышает общую физическую подготовку.,Все тело,cardio,intermediate,"[""Кардио"", ""Выносливость"", ""Сжигание калорий"", ""Интенсивность""]",endurance
endurance_24,Кардио-микс 3,Cardio Mix 3,Кардио упражнение для развития выносливости и улучшения сердечно-сосудистой системы. Кардио-микс 3 повышает общую физическую подготовку.,Все тело,cardio,intermediate,"[""Кардио"", ""Выносливость"", ""Сжигание калорий"", ""Интенсивность""]",endurance
endurance_25,Интенсив 3,High Intensity 3,Кардио упражнение для развития выносливости и улучшения сердечно-сосудистой системы. Интенсив 3 повышает общую физическую подготовку.,Все тело,cardio,intermediate,"[""Кардио"", ""Выносливость"", ""Сжигание калорий"", ""Интенсивность""]",endurance
endurance_26,Выносливость 3,Endurance Training 3,Кардио упражнение для развития выносливости и улучшения сердечно-сосудистой системы. Выносливость 3 повышает общую физическую подготовку.,Все тело,cardio,intermediate,"[""Кардио"", ""Выносливость"", ""Сжигание калорий"", ""Интенсивность""]",endurance
endurance_27,Кардио-блок 3,Cardio Block 3,Кардио упражнение для развития выносливости и улучшения сердечно-сосудистой системы. Кардио-блок 3 повышает общую физическую подготовку.,Все тело,cardio,intermediate,"[""Кардио"", ""Выносливость"", ""Сжигание калорий"", ""Интенсивность""]",endurance
endurance_28,Аэробная нагрузка 3,Aerobic Exercise 3,Кардио упражнение для развития выносливости и улучшения сердечно-сосудистой системы. Аэробная нагрузка 3 повышает общую физическую подготовку.,Все тело,cardio,intermediate,"[""Кардио"", ""Выносливость"", ""Сжигание калорий"", ""Интенсивность""]",endurance
endurance_29,Функциональная тренировка 3,Functional Training 3,Кардио упражнение для развития выносливости и улучшения сердечно-сосудистой системы. Функциональная тренировка 3 повышает общую физическую подготовку.,Все тело,cardio,intermediate,"[""Кардио"", ""Выносливость"", ""Сжигание калорий"", ""Интенсивность""]",endurance
endurance_30,Круговая тренировка 3,Circuit Training 3,Кардио упражнение для развития выносливости и улучшения сердечно-сосудистой системы. Круговая тренировка 3 повышает общую физическую подготовку.,Все тело,cardio,intermediate,"[""Кардио"", ""Выносливость"", ""Сжигание калорий"", ""Интенсивность""]",endurance
endurance_31,Кардио-интервал 4,Cardio Interval 4,Кардио упражнение для развития выносливости и улучшения сердечно-сосудистой системы. Кардио-интервал 4 повышает общую физическую подготовку.,Все тело,cardio,intermediate,"[""Кардио"", ""Выносливость"", ""Сжигание калорий"", ""Интенсивность""]",endurance
endurance_32,Высокоинтенсивный бег 4,High Intensity Running 4,Кардио упражнение для развития выносливости и улучшения сердечно-сосудистой системы. Высокоинтенсивный бег 4 повышает общую физическую подготовку.,Все тело,cardio,intermediate,"[""Кардио"", ""Выносливость"", ""Сжигание калорий"", ""Интенсивность""]",endurance
endurance_33,Прыжки 4,Jumping Exercise 4,Кардио упражнение для развития выносливости и улучшения сердечно-сосудистой системы. Прыжки 4 повышает общую физическую подготовку.,Все тело,cardio,intermediate,"[""Кардио"", ""Выносливость"", ""Сжигание калорий"", ""Интенсивность""]",endurance
endurance_34,Кардио-микс 4,Cardio Mix 4,Кардио упражнение для развития выносливости и улучшения сердечно-сосудистой системы. Кардио-микс 4 повышает общую физическую подготовку.,Все тело,cardio,intermediate,"[""Кардио"", ""Выносливость"", ""Сжигание калорий"", ""Интенсивность""]",endurance
